Country,Happiness score,Whisker-high,Whisker-low, GDP per capita, Social support,Healthy life expectancy,Freedom to make life choices, Generosity,Perceptions of corruption,Dystopia (1.85) + residual,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education
Belgium,6.891,6.956,6.826,1.464,1.462,0.818,0.54,0.232,0.251,2.124,87.15,93.27,87.84,80.34,99.19,99.83,90.18,83.87,95.03,90.62,75.67,90.03,89.44,84.79,75.17,71.94
Benin,3.657,3.746,3.568,0.431,0.435,0.21,0.426,0.208,0.061,1.886,51.69,52.79,57.15,45.13,78.9,38.7,30.52,63.02,63.85,59.05,52.81,52.88,71.33,48.78,52.88,7.53
Bolivia,5.823,5.904,5.742,0.834,1.228,0.474,0.559,0.226,0.06,2.443,66.93,74.42,73.36,53,86.16,68.29,75.52,67.71,91.22,70.51,70.96,60.73,57.11,60.94,60.45,33.52
Botswana,3.766,3.874,3.658,1.122,1.222,0.342,0.505,0.099,0.099,0.378,64.44,70.62,66.78,55.92,75.6,77.62,53.89,75.37,87.89,71.95,43.32,63.99,69.06,76.44,57.49,20.68
Brazil,6.635,6.725,6.545,1.107,1.431,0.617,0.437,0.162,0.111,2.769,73.97,76.49,79.55,65.86,97.07,86.62,73.9,48.38,94.11,76.67,73.57,73.87,71.64,73.23,68.34,50.21
Bulgaria,4.714,4.804,4.624,1.161,1.434,0.708,0.289,0.113,0.011,0.996,74.42,88.18,76.54,58.52,98.7,94.74,83.42,75.86,96.27,75.33,62.82,71.76,68.17,58.77,49.34,57.81
Burkina Faso,4.032,4.124,3.94,0.35,1.043,0.216,0.324,0.251,0.12,1.727,49.75,49.69,56.36,43.19,71.48,37.8,28.49,60.98,54.85,60.92,55.59,54.07,63.04,47.43,55.64,6.65
Cambodia,4.168,4.279,4.057,0.602,1.006,0.43,0.633,0.386,0.068,1.043,54.54,61.47,62.7,39.44,87.73,45.64,52.16,60.36,73.56,62.91,56.57,57.76,37.61,61.83,41.19,17.13
Cameroon,4.695,4.797,4.593,0.564,0.946,0.133,0.43,0.236,0.051,2.334,47.83,51.72,55.84,35.91,74.93,37.77,39.5,54.68,78.44,53.49,54.45,36.99,38.25,46.47,41.72,17.22
Canada,7.316,7.384,7.248,1.479,1.481,0.835,0.611,0.436,0.287,2.187,89.84,94.88,86.64,88,99.26,99.42,88.12,92.74,99.68,85.11,81.6,80.17,94.32,88.47,81.87,87.34
Chad,3.936,4.035,3.837,0.438,0.954,0.041,0.162,0.216,0.054,2.071,28.38,27.82,35.41,21.9,41.62,26.67,6.96,36.05,37.03,35.61,37.16,31.83,20.55,35.9,18.75,12.39
Chile,6.652,6.739,6.565,1.253,1.284,0.819,0.377,0.327,0.082,2.51,35.69,36.72,44.62,25.72,52.61,20.34,22.68,51.26,40.63,37.5,56.3,44.07,27.81,27.83,42.08,5.15
China,5.273,5.319,5.227,1.081,1.161,0.741,0.473,0.029,0.023,1.765,82.54,88.62,85.95,73.04,98.14,96.27,82.4,77.67,97.64,83.16,79.37,83.65,89.66,73.54,72.76,56.19
Colombia,6.357,6.452,6.262,1.071,1.402,0.595,0.477,0.149,0.047,2.616,63.72,79.98,68.67,42.53,94.94,81.8,79.15,64.01,95.48,53.18,68.03,58,15.21,71.09,37.76,46.05
Congo (Brazzaville),4.291,4.41,4.172,0.809,0.832,0.29,0.435,0.121,0.08,1.724,71.72,75.59,79.06,60.51,94.42,78.34,77.95,51.66,93.62,71.45,78.05,73.11,65.62,67.03,58.03,51.35
Costa Rica,7.079,7.168,6.99,1.11,1.416,0.76,0.58,0.215,0.1,2.899,48.24,45.58,62.66,36.49,71.06,24.06,34.19,52.99,77.95,61.72,53.98,56.98,28.29,48.44,45.66,23.57
Croatia,5.293,5.392,5.194,1.223,0.968,0.701,0.256,0.248,0.043,1.854,81.03,87.75,84.82,70.54,97.65,93.75,84.18,75.41,97.1,85.04,82.51,74.61,83.06,77.2,69.86,52.02
Cyprus,5.621,5.715,5.527,1.356,1.131,0.845,0.355,0.271,0.041,1.621,78.04,91.8,82.26,60.06,99.37,98.77,85.82,83.26,97.83,81.32,69.73,80.13,73.88,64.95,45.36,56.05
Czech Republic,6.609,6.684,6.534,1.353,1.434,0.754,0.491,0.088,0.037,2.452,81.15,90.63,84.31,68.52,99.51,100,81.85,81.15,99.05,83.88,81.28,73.02,84.95,71.04,52.96,65.12
Denmark,7.522,7.582,7.462,1.482,1.551,0.793,0.626,0.355,0.401,2.314,84.22,95.5,85,72.15,99.39,99.71,89.98,92.92,98.79,88.67,72.24,80.3,86.91,76.5,57.86,67.33
Dominican Republic,5.23,5.349,5.111,1.079,1.402,0.575,0.553,0.187,0.114,1.319,90.57,96.79,90.86,84.06,99.28,99.87,94.27,93.75,98.49,95.64,77.91,91.39,97.89,89.83,78.29,70.24
Ecuador,6.008,6.106,5.91,1.001,1.286,0.686,0.455,0.15,0.14,2.29,68.42,73.49,77.23,54.54,90.54,78.79,68.87,55.75,85.07,71.03,75.39,77.43,62.2,63.27,62.49,30.2
Egypt,4.735,4.825,4.645,0.99,0.997,0.52,0.282,0.129,0.114,1.702,69.97,79.15,77.99,52.77,92.59,79.6,79.22,65.18,97.11,66.61,77.23,71.01,49.27,63.88,60.45,37.51
El Salvador,6.003,6.109,5.897,0.91,1.182,0.596,0.432,0.078,0.09,2.715,63.76,82.3,68.94,40.05,96.72,97.64,70.3,64.54,91.15,62.69,62.94,58.99,28.14,57.84,35.1,39.11
Estonia,5.611,5.688,5.534,1.321,1.477,0.695,0.479,0.099,0.183,1.358,66.43,71.92,76.36,51,92.29,79.68,78.37,37.36,92.51,70.16,75.43,67.35,64.26,65.06,51.77,22.91
Ethiopia,4.46,4.543,4.377,0.339,0.865,0.353,0.409,0.313,0.165,2.016,82.96,91.97,85.19,71.71,99.46,97.76,87.24,83.41,97.4,91.46,70.52,81.4,91.92,78.59,50.25,66.08
Finland,7.469,7.528,7.41,1.444,1.54,0.809,0.618,0.245,0.383,2.43,45.29,52.19,54.26,29.42,70.56,28.86,42.95,66.38,65.75,39.06,60.04,52.18,20.12,53.14,36.49,7.94
France,6.442,6.516,6.368,1.431,1.388,0.844,0.47,0.13,0.173,2.006,90.53,96.16,89.52,85.9,99.65,99.24,92.64,93.13,96.46,94.77,77.08,89.77,95.77,91.69,84.04,72.12
Georgia,4.286,4.375,4.197,0.951,0.571,0.65,0.309,0.054,0.252,1.5,85.92,92.49,89.16,76.1,99.27,99.56,88.4,82.74,99.59,86.85,79.06,91.14,86.03,81.5,61.16,75.72
Germany,6.951,7.005,6.897,1.488,1.473,0.799,0.563,0.336,0.277,2.016,70.8,87.14,74.06,51.21,95.96,90.26,79.48,82.87,99.26,75.38,62.85,58.74,64.85,57.87,26.3,55.8
Ghana,4.12,4.223,4.017,0.667,0.874,0.296,0.423,0.257,0.025,1.578,88.5,94.46,89.78,81.26,99.36,99.75,89.03,89.71,97.85,91.06,78.62,91.6,92.75,84.83,73.64,73.84
Greece,5.227,5.325,5.129,1.289,1.239,0.81,0.096,0,0.043,1.749,61.44,60.46,69.92,53.95,86.15,43.02,43.12,69.54,86.71,72.76,57.55,62.66,80.1,60.17,52.02,23.51
Guatemala,6.454,6.567,6.341,0.872,1.256,0.54,0.531,0.283,0.077,2.894,78.92,89.87,85.77,61.13,99.39,99.67,82.48,77.92,95.58,79.6,82.68,85.2,72.63,56.68,47.58,67.65
Guinea,3.507,3.584,3.43,0.245,0.791,0.194,0.349,0.265,0.111,1.552,62.62,71.7,72.12,44.05,88.53,77.98,75.12,45.17,80.61,66.08,74.01,67.79,54.54,59.56,47.72,14.39
Honduras,5.181,5.302,5.06,0.731,1.144,0.583,0.348,0.236,0.073,2.066,43.4,44.99,53.22,31.98,69.61,35.61,23.53,51.23,48.28,57.47,56.68,50.45,46.09,37.31,41.07,3.45
Hungary,5.324,5.403,5.245,1.286,1.343,0.688,0.176,0.078,0.037,1.716,61.76,68.56,69.28,47.44,91.05,84.16,66.91,32.14,82.56,60.21,74.09,60.27,50,59.96,57.21,22.59
Iceland,7.504,7.622,7.386,1.481,1.611,0.834,0.627,0.476,0.154,2.323,77.32,90.06,80.67,61.22,99.16,98.9,80.45,81.75,98.3,82.03,62.64,79.71,63.72,65.9,50.96,64.32
India,4.315,4.372,4.258,0.792,0.754,0.455,0.47,0.232,0.092,1.519,90.27,94.96,89.06,86.81,99.54,99.6,87.15,93.55,98.13,93.7,83.32,81.07,92.41,87.17,93.04,74.61
Indonesia,5.262,5.353,5.171,0.996,1.274,0.492,0.443,0.612,0.015,1.429,58.39,66.74,61.15,47.29,84.64,57.57,64.42,60.35,85.57,56.1,55.91,47.01,72.3,58.43,26.36,32.05
